Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
Вино Chateau Lynch-Bages,2016.0,Франция,Сухое,37990.0,0.0,
Вино Penfolds Grange,2016.0,Австралия,Сухое,174990.0,0.0,
Вино Penfolds St Henri Shiraz,2016.0,Австралия,Сухое,27490.0,0.0,
Вино Bertinga,2016.0,Италия,Сухое,11190.0,5.0,1.0
"Вино Pinot Noir Laurene, Domaine Drouhin Oregon",2016.0,Соединенные Штаты Америки,Сухое,19990.0,5.0,
"Вино Savigny-les-Beaune 1er Cru aux Vergelesses  , Simon Bize & Fils",2016.0,Франция,Сухое,15490.0,0.0,
"Вино Patrimo, Feudi di San Gregorio",2016.0,Италия,Сухое,16990.0,0.0,
Вино Le Serre Nuove dell'Ornellaia,2016.0,Италия,Сухое,24130.0,5.0,2.0
"Вино Corton Grand Cru Le Corton, Bouchard Pere & Fils",2016.0,Франция,Сухое,34990.0,0.0,
"Вино Sena, Vina Sena",2016.0,Чили,Сухое,34990.0,5.0,
"Вино Tenuta Tascante Contrada Sciaranuova V.V., Tasca d'Almerita",2016.0,Италия,Сухое,12994.0,5.0,1.0
Вино Ornellaia,2016.0,Италия,Сухое,89990.0,5.0,
"Вино Chateauneuf-du-Pape Chateau de Nalys Rouge, Guigal",2016.0,Франция,Сухое,11694.0,0.0,
"Вино Punta di Adine, Bertinga",2016.0,Италия,Сухое,14990.0,0.0,
"Вино Clos de Vougeot Grand Cru AOC, Domaine Hubert Lignier",2017.0,Франция,Сухое,54990.0,0.0,
"Вино Maranges Vieilles Vignes, Domaine Thierry et Pascale Matrot",2017.0,Франция,Сухое,6790.0,0.0,
"Вино Clos de L'Echelier Rouge, Thierry Germain",2017.0,Франция,Сухое,9490.0,0.0,
"Вино Clos de L'Echelier Blanc, Thierry Germain",2017.0,Франция,Сухое,11990.0,0.0,
"Вино Batard-Montrachet Grand Cru, Olivier Leflaive Freres",2017.0,Франция,Сухое,174990.0,0.0,
"Вино Chardonnay Alesia, Rhys Vineyards",2017.0,Соединенные Штаты Америки,Сухое,9990.0,4.0,1.0
"Вино La Marginale, Thierry Germain",2017.0,Франция,Сухое,8490.0,5.0,1.0
Вино Ornellaia,2017.0,Италия,Сухое,79990.0,5.0,
"Вино Outre Terre (Saumur Champigny), Thierry Germain",2017.0,Франция,Сухое,11990.0,5.0,
"Вино Yamhill Cuvee Pinot Noir, Domaine Serene",2017.0,Соединенные Штаты Америки,Сухое,14990.0,4.0,1.0
Вино Chateau-Grillet,2017.0,Франция,Сухое,89990.0,5.0,
"Вино Cantos del Diablo, Daniel Landi",2017.0,Испания,Сухое,18340.0,0.0,
"Вино Pinot Noir Alpine Vineyard, Rhys Vineyards",2017.0,Соединенные Штаты Америки,Сухое,28490.0,0.0,
"Вино Sassicaia, Tenuta San Guido",2017.0,Италия,Сухое,79990.0,5.0,6.0
"Вино Sassi Chiusi, Bertinga",2017.0,Италия,Сухое,4290.0,4.4,27.0
Вино Hacienda Lopez de Haro Reserva,2017.0,Испания,Сухое,1424.0,4.7,12.0
"Вино Finca Torrea, Marques de Riscal",2017.0,Испания,Сухое,6490.0,0.0,
"Вино Tenuta Regaleali Rosso del Conte, Tasca d'Almerita",2017.0,Италия,Сухое,5943.0,0.0,
"Вино Le Pied de la Butte, Domaine de la Butte",2017.0,Франция,Сухое,5920.0,0.0,
"Вино Colombard, Rigal",2017.0,Франция,Полусухое,1490.0,4.5,4.0
"Вино Boca, Le Piane",2017.0,Италия,Сухое,13990.0,0.0,
"Вино Bourgogne Chardonnay, Domaine Thierry et Pascale Matrot",2017.0,Франция,Сухое,5490.0,5.0,
"Вино Valbuena 5, Bodegas Vega Sicilia",2017.0,Испания,Сухое,31490.0,5.0,2.0
"Вино Baron de Chirel Reserva, Marques de Riscal",2017.0,Испания,Сухое,19990.0,4.5,2.0
"Вино Volnay, Domaine Jean-Marc & Thomas Bouley",2017.0,Франция,Сухое,13990.0,5.0,1.0
"Вино Savigny-les-Beaune Premier Cru La Dominode, Domaine Bruno Clair",2017.0,Франция,Сухое,16990.0,5.0,2.0
"Вино Napanook, Dominus Estate",2017.0,Соединенные Штаты Америки,Сухое,21490.0,4.0,
"Вино Dominus, Dominus Estate",2017.0,Соединенные Штаты Америки,Сухое,74990.0,0.0,
Вино Triennes Les Aureliens Rouge,2017.0,Франция,Сухое,2990.0,5.0,1.0
"Вино Pinot Gris Reserve Personnelle, Trimbach",2017.0,Франция,Полусухое,7290.0,5.0,
"Вино Franc de Pied, Thierry Germain",2017.0,Франция,Сухое,8990.0,0.0,
"Вино Gran Feudo Reserva, Bodegas Chivite",2017.0,Испания,Сухое,1690.0,4.6,15.0
"Вино Torrione, Petrolo",2017.0,Италия,Сухое,4990.0,4.3,1.0
"Вино Vino Nobile di Montepulciano Vigneto Antica Chiusina, Fattoria del Cerro",2017.0,Италия,Сухое,6490.0,4.5,1.0
"Вино Cote-Rotie Chateau d'Ampuis, Guigal",2017.0,Франция,Сухое,26490.0,0.0,1.0
"Вино Clos de Vougeot Grand Cru, Domaine Jean Grivot",2017.0,Франция,Сухое,64990.0,0.0,
"Вино Nuits-Saint-Georges Premier Cru Aux Boudots, Domaine Jean Grivot",2017.0,Франция,Сухое,51050.0,0.0,
"Вино Nuits-Saint-Georges Premier Cru Les Pruliers, Domaine Jean Grivot",2017.0,Франция,Сухое,43040.0,0.0,
"Вино Mimmo, Le Piane",2017.0,Италия,Сухое,4990.0,4.8,
"Вино Gran Feudo Crianza, Bodegas Chivite",2017.0,Испания,Сухое,1440.0,4.3,19.0
"Вино L'Ermita Velles Vinyes, Alvaro Palacios",2017.0,Испания,Сухое,199990.0,5.0,1.0
"Вино Brunello di Montalcino, Le Potazzine",2017.0,Италия,Сухое,18990.0,0.0,
Вино Amarone della Valpolicella Classico Riserva Sergio Zenato,2017.0,Италия,Сухое,17990.0,5.0,4.0
"Вино Coleccion 125 Reserva, Bodegas Chivite",2017.0,Испания,Сухое,5990.0,4.5,4.0
"Вино Riesling Kastelberg Grand Cru Le Chateau, Domaine Marc Kreydenweiss",2017.0,Франция,Сухое,13990.0,5.0,
Вино Ca'Del Bosco Chardonnay,2017.0,Италия,Сухое,17490.0,5.0,
"Вино Monthelie, Domaine Thierry et Pascale Matrot",2017.0,Франция,Сухое,8990.0,0.0,
"Вино Cote-Rotie La Mouline, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Meursault-Blagny Premier Cru La Piece Sous le Bois, Domaine Comtesse de Cherisey",2017.0,Франция,Сухое,23990.0,0.0,
"Вино Barolo Bussia Romirasco, Aldo Conterno",2017.0,Италия,Сухое,44990.0,0.0,
"Вино Barolo Bussia, Aldo Conterno",2017.0,Италия,Сухое,19990.0,0.0,
"Вино Pinot Noir Laurene, Domaine Drouhin Oregon",2017.0,Соединенные Штаты Америки,Сухое,17490.0,5.0,
"Вино Gevrey-Chambertin, Domaine Pierre Damoy",2017.0,Франция,Сухое,22490.0,0.0,
"Вино Pinot Gris Reserve, Trimbach",2017.0,Франция,Полусухое,3143.0,5.0,
"Вино Gevrey-Chambertin Clos Du Meix Des Ouches, Domaine de Varoilles",2017.0,Франция,Сухое,13990.0,0.0,
"Вино Zanna, Dino Illuminati",2017.0,Италия,Сухое,4990.0,4.5,
"Вино Palistorti di Valgiano Rosso, Tenuta di Valgiano",2017.0,Италия,Сухое,5690.0,5.0,1.0
"Вино Brunello di Montalcino, Le Potazzine",2017.0,Италия,Сухое,18990.0,0.0,
"Вино Cote-Rotie La Turque, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Cote-Rotie La Landonne, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Gevrey-Chambertin 1er Cru Clos Saint-JacquesVieille Vigne, Domaine Fourrier",2017.0,Франция,Сухое,169990.0,0.0,
"Вино Barbera d'Alba Superiore Santo Stefano di Perno, Giuseppe Mascarello",2017.0,Италия,Сухое,9500.0,0.0,
"Вино Gevrey-Chambertin Clos Tamisot, Domaine Pierre Damoy",2017.0,Франция,Сухое,37990.0,0.0,
"Вино Bourgogne Rouge, Domaine Pierre Damoy",2017.0,Франция,Сухое,9990.0,0.0,
"Вино Don Maximiano Founder's Reserve, Errazuriz",2017.0,Чили,Сухое,15490.0,0.0,
"Вино Pommard, Domaine Jean-Marc & Thomas Bouley",2017.0,Франция,Сухое,13490.0,3.5,
"Вино Barbera d'Alba, Bruno Giacosa",2017.0,Италия,Сухое,7790.0,0.0,
"Вино Langhe Nebbiolo Il Favot, Aldo Conterno",2017.0,Италия,Сухое,10990.0,0.0,
"Вино La Gioia, Riecine",2017.0,Италия,Сухое,13990.0,5.0,1.0
"Вино Fixin Les Mogottes, Domaine Pierre Damoy",2017.0,Франция,Сухое,17990.0,0.0,
"Вино Puligny-Montrachet Premier Cru Hameau de Blagny, Domaine Comtesse de Cherisey",2017.0,Франция,Сухое,23990.0,0.0,
"Вино Barolo Ravera, Vietti",2017.0,Италия,Сухое,37490.0,0.0,
"Вино Barolo Rocche di Castiglione, Vietti",2017.0,Италия,Сухое,37490.0,0.0,
Вино Chateau Canon,2017.0,Франция,Сухое,22490.0,0.0,
"Вино Les Memoires (Saumur Champigny), Thierry Germain",2017.0,Франция,Сухое,9990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigna del Sorbo, Fontodi",2017.0,Италия,Сухое,17930.0,0.0,
"Вино Cote-Rotie La Landonne, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Cote-Rotie La Mouline, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Cote-Rotie La Turque, Guigal",2017.0,Франция,Сухое,84990.0,0.0,
"Вино Syrah, Mullineux & Leeu",2017.0,Южная Африка,Сухое,6490.0,5.0,
Вино Agos ,2017.0,Армения,Сухое,3490.0,4.5,2.0
"Вино Bourgogne Blanc Les Ravry, Domaine Pierre Damoy",2017.0,Франция,Сухое,9990.0,0.0,
"Вино Chateauneuf-du-Pape Rouge, Guigal",2017.0,Франция,Сухое,6293.0,4.6,2.0
"Вино Chapelle-Chambertin Grand Cru, Domaine Pierre Damoy",2017.0,Франция,Сухое,119990.0,0.0,
"Вино Latricieres-Chambertin Grand Cru, Simon Bize & Fils",2017.0,Франция,Сухое,57490.0,0.0,
Вино Chateau Calon Segur,2017.0,Франция,Сухое,37990.0,5.0,1.0
"Вино Mimmo, Le Piane",2018.0,Италия,Сухое,4990.0,4.8,
Вино Набор Banfi Col di Sasso+Le Rime,2018.0,Италия,Вино,6060.0,0.0,
"Вино L`Apparita, Castello di Ama",2018.0,Италия,Сухое,54990.0,5.0,1.0
Вино Chateau Potensac,2018.0,Франция,Сухое,6490.0,4.8,1.0
"Вино Fixin, Domaine Pierre Gelin",2018.0,Франция,Сухое,8990.0,4.5,2.0
"Вино Barolo Castiglione, Vietti",2018.0,Италия,Сухое,14490.0,5.0,1.0
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2018.0,Франция,Сухое,124990.0,0.0,
"Вино Gevrey-Chambertin Clos de Meixvelle, Domaine Pierre Gelin",2018.0,Франция,Сухое,12490.0,5.0,
"Вино Meursault Premier Cru Genevrieres, Bouchard Pere & Fils",2018.0,Франция,Сухое,27490.0,0.0,
"Вино Gevrey-Chambertin Ostrea, Domaine Trapet Pere et Fils",2018.0,Франция,Сухое,18990.0,0.0,
"Вино Barbaresco Il Bricco, Pio Cesare",2018.0,Италия,Сухое,22490.0,0.0,
"Вино Saperavi, Lukasi",2018.0,Грузия,Сухое,3990.0,4.9,5.0
"Вино Savigny-les-Beaune Premier Cru La Dominode, Domaine Bruno Clair",2018.0,Франция,Сухое,16990.0,5.0,2.0
"Вино Barolo Mosconi, Pio Cesare",2018.0,Италия,Сухое,26490.0,0.0,
"Вино Barolo Cerequio, Vietti",2018.0,Италия,Сухое,39990.0,0.0,
Вино Chateau d'Yquem,2018.0,Франция,Сладкое,69990.0,5.0,
"Вино Barolo Gavarini Vigna Chiniera, Elio Grasso",2018.0,Италия,Сухое,19490.0,0.0,
"Вино Barolo Ginestra Casa Mate, Elio Grasso",2018.0,Италия,Сухое,19490.0,5.0,
"Вино Barolo Rocche di Castiglione, Vietti",2018.0,Италия,Сухое,39990.0,0.0,
"Вино Barolo Ravera, Vietti",2018.0,Италия,Сухое,39990.0,0.0,
"Вино Barolo Lazzarito, Vietti",2018.0,Италия,Сухое,39990.0,5.0,1.0
"Вино LR, Colterenzio",2018.0,Италия,Сухое,22490.0,5.0,
"Вино Derthona Costa del Vento, Vigneti Massa",2018.0,Италия,Полусухое,11490.0,0.0,
"Вино Spatburgunder Kirschgarten GG, Knipser",2018.0,Германия,Сухое,11190.0,4.0,
Вино Besini Premium Red,2018.0,Грузия,Сухое,2990.0,4.2,2.0
"Вино Le Petit Cheval Blanc, Chateau Cheval Blanc",2018.0,Франция,Сухое,26990.0,5.0,
Вино Villa di Capezzana Carmignano,2018.0,Италия,Сухое,5990.0,4.0,
"Вино Chambertin Clos de Beze, Domaine Pierre Gelin",2018.0,Франция,Сухое,69990.0,0.0,
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018.0,Италия,Сухое,11190.0,5.0,3.0
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018.0,Италия,Сухое,11990.0,5.0,
"Вино Awatea, Te Mata",2018.0,Новая Зеландия,Сухое,5490.0,3.0,1.0
"Вино Aerope, Two Hands",2018.0,Австралия,Сухое,14990.0,5.0,1.0
"Вино Mille e Una Notte, Donnafugata",2018.0,Италия,Сухое,10493.0,5.0,
"Вино Gevrey-Chambertin Premier Cru Capita, Domaine Trapet Pere et Fils",2018.0,Франция,Сухое,36490.0,0.0,
"Вино Pomino Pinot Nero, Frescobaldi",2018.0,Италия,Сухое,5490.0,5.0,
"Вино Pinot Gris Les Elements, Domaine Bott-Geyl",2018.0,Франция,Полусухое,4190.0,5.0,
"Вино Laurenc, Pranzegg",2018.0,Италия,Сухое,7990.0,5.0,
"Вино Vosne-Romanee, Domaine Duroche",2018.0,Франция,Сухое,21490.0,0.0,
"Вино Riesling Marienburg Grosses Gewachs, Clemens Busch",2018.0,Германия,Полусухое,7990.0,5.0,1.0
"Вино Barolo Ornato, Pio Cesare",2018.0,Италия,Сухое,22490.0,3.5,
"Вино Santenay Vieilles Vignes, Domaine Amiot Guy et Fils",2018.0,Франция,Сухое,6990.0,0.0,
"Вино Steakwine Chardonnay, Penaflor",2018.0,Аргентина,Полусухое,1270.0,4.3,7.0
"Вино 50 & 50, Capannelle",2018.0,Италия,Сухое,24490.0,0.0,
Вино Chateau Marjosse Blanc ,2018.0,Франция,Сухое,3190.0,5.0,
"Вино L'Abeille de Fieuzal, Chateau de Fieuzal",2018.0,Франция,Сухое,4740.0,0.0,
"Вино Chambolle-Musigny, Bouchard Pere & Fils",2018.0,Франция,Сухое,16490.0,4.5,2.0
"Вино Don Maximiano Founder's Reserve, Errazuriz",2018.0,Чили,Сухое,15990.0,0.0,
"Вино Morey-Saint-Denis Premier Cru La Forge de Tart, Domaine Clos de Tart",2018.0,Франция,Сухое,57490.0,0.0,
"Вино Nuits-Saint-Georges Premier Cru Aux Boudots, Domaine Jean Grivot",2018.0,Франция,Сухое,37490.0,0.0,
"Вино Bourgogne Pinot Noir, Domaine Jean Grivot",2018.0,Франция,Сухое,8990.0,5.0,
"Вино Derthona, Vigneti Massa",2018.0,Италия,Сухое,6890.0,4.3,1.0
"Вино La Cumbre, Errazuriz",2018.0,Чили,Сухое,18610.0,0.0,
"Вино Spatburgunder Kalkmergel, Knipser",2018.0,Германия,Сухое,5990.0,4.0,
"Вино Riesling Marienburg Grosses Gewachs Rothenpfad, Clemens Busch",2018.0,Германия,Полусухое,8190.0,5.0,
"Вино Le Dos d'Chat Bebess, Fabrice Dodane & Domaine de Saint-Pierre",2018.0,Франция,Сухое,4790.0,4.0,
"Вино Terre Brune, Santadi",2018.0,Италия,Сухое,9990.0,0.0,
"Вино Summus, Banfi",2018.0,Италия,Сухое,7268.0,5.0,
"Вино Voskehat Reserve, Zulal",2018.0,Армения,Сухое,2490.0,0.0,
"Вино Clarendelle by Haut-Brion Medoc, Domaine Clarence Dillon",2018.0,Франция,Сухое,2618.0,4.7,23.0
"Вино Nuits-Saint-Georges Premier Cru Les Pruliers, Domaine Jean Grivot",2018.0,Франция,Сухое,31490.0,0.0,
"Вино Spatburgunder Blauer, Knipser",2018.0,Германия,Сухое,3740.0,4.0,5.0
"Вино Bourgogne Chardonnay, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,5490.0,5.0,
"Вино Maranges Vieilles Vignes, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,6790.0,0.0,
"Вино Campill, Pranzegg",2018.0,Италия,Сухое,6990.0,0.0,
"Вино Saint-Romain, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,7990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2018.0,Италия,Сухое,54990.0,4.0,
"Вино Meursault Rouge, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,9990.0,5.0,
"Вино Ailala Souson, Coto de Gomariz",2018.0,Испания,Сухое,2790.0,4.2,7.0
"Вино Meursault Premier Cru Charmes, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,19490.0,0.0,
"Вино Les Vieux Clos, Nicolas Joly",2018.0,Франция,Сухое,12490.0,0.0,
"Вино Meursault Premier Cru Blagny, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,18490.0,3.0,1.0
"Вино Saint-Aubin Premier Cru Les Murgers des Dents de Chien, Francois Carillon",2018.0,Франция,Сухое,14490.0,0.0,
"Вино Meursault Blanc, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,13490.0,0.0,
"Вино Bourgogne Pinot Noir , Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,5990.0,4.3,2.0
"Вино Pelago, Umani Ronchi",2018.0,Италия,Сухое,8490.0,5.0,
"Вино Набор Barolo, Giacomo Fenocchio",2018.0,Италия,Вино,39990.0,0.0,
Вино Penfolds RWT Shiraz,2018.0,Австралия,Сухое,37490.0,0.0,
"Вино Othello, Dominus Estate",2018.0,Соединенные Штаты Америки,Сухое,13490.0,4.8,
"Вино Napanook, Dominus Estate",2018.0,Соединенные Штаты Америки,Сухое,21490.0,4.0,
Вино Penfolds Bin 389 Cabernet Shiraz,2018.0,Австралия,Сухое,11369.0,0.0,
"Вино Dominus, Dominus Estate",2018.0,Соединенные Штаты Америки,Сухое,79990.0,0.0,
"Вино Haiku, Castello di Ama",2018.0,Италия,Сухое,12490.0,4.8,1.0
"Вино Monthelie, Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,9290.0,0.0,
"Вино Solo, Vodopivec",2018.0,Италия,Сухое,12490.0,0.0,
"Вино Maranges Premier Cru La Fussiere , Domaine Thierry et Pascale Matrot",2018.0,Франция,Сухое,8690.0,0.0,
"Вино Cote-Rotie Chateau d'Ampuis, Guigal",2018.0,Франция,Сухое,27490.0,0.0,1.0
"Вино Rosso di Montalcino, Pian dell'Orino",2018.0,Италия,Сухое,12990.0,0.0,
"Вино Chianti Classico Gran Selezione Vigneto La Casuccia, Castello di Ama",2018.0,Италия,Сухое,54990.0,0.0,
"Вино Morogues Les Cris, Domaine Pelle",2018.0,Франция,Сухое,5690.0,5.0,1.0
"Вино Corton-Charlemagne Grand Cru Vieilles Vignes, Domaine Dugat-Py",2018.0,Франция,Сухое,97490.0,0.0,
"Вино Morogues Les Cris, Domaine Pelle",2018.0,Франция,Сухое,5690.0,5.0,1.0
"Вино Barbera d'Asti Superiore, Canti",2018.0,Италия,Сухое,1690.0,4.3,13.0
"Вино Carnasciale, Podere Il Carnasciale",2018.0,Италия,Сухое,11490.0,3.0,2.0
"Вино Clos-Vougeot Grand Cru, Domaine d'Eugenie",2018.0,Франция,Сухое,89990.0,0.0,
"Вино Grands-Echezeaux Grand Cru, Domaine d'Eugenie",2018.0,Франция,Сухое,129010.0,0.0,
"Вино Pommard, Domaine Jean-Marc & Thomas Bouley",2018.0,Франция,Сухое,11490.0,3.5,
"Вино Barbera d'Asti la Crena, Vietti",2018.0,Италия,Сухое,9990.0,5.0,
"Вино Chardonnay La Rinconada Vineyard, Tyler",2018.0,Соединенные Штаты Америки,Сухое,13490.0,0.0,
"Вино Volnay Premier Cru Les Mitans, Domaine Michel Lafarge",2018.0,Франция,Сухое,26490.0,0.0,
"Вино Hermitage Rouge, Domaine Marc Sorrel",2018.0,Франция,Сухое,24990.0,0.0,1.0
"Вино Hermitage Le Greal, Domaine Marc Sorrel",2018.0,Франция,Сухое,39990.0,0.0,
"Вино Hermitage Les Rocoules , Domaine Marc Sorrel",2018.0,Франция,Сухое,39990.0,0.0,
"Вино Gevrey-Chambertin Ostrea, Domaine Trapet Pere et Fils",2018.0,Франция,Сухое,18990.0,0.0,
"Вино Torrione, Petrolo",2018.0,Италия,Сухое,6060.0,4.3,1.0
"Вино Amarone della Valpolicella Classico, Zenato",2018.0,Италия,Полусухое,11290.0,5.0,5.0
"Вино Aile d'Argent, Chateau Mouton Rothschild",2018.0,Франция,Сухое,31990.0,0.0,
"Вино Hommage a Camille Blanc, Louis Roederer",2018.0,Франция,Сухое,26490.0,0.0,
"Вино Семисам Резерв Мерло, Шумринка",2018.0,Россия,Сухое,1240.0,4.7,24.0
"Вино Набор Бароло и Барбареско (дер), Pio Cesare",2018.0,Италия,Вино,23490.0,0.0,
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018.0,Италия,Сухое,11190.0,5.0,3.0
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018.0,Италия,Сухое,11990.0,5.0,
"Вино Barolo Villero, Giacomo Fenocchio",2018.0,Италия,Сухое,17490.0,0.0,
